latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,Precio_m2_total
-12.1304300852,-77.01337237459998,Santiago de Surco,Lima,282.0,282.0,S/,7.0,3.0,4.0,29.0,2.0,0.0,6mc4z,6mc4zx,6mc4zx8,6mc4zx8x,6mc4zx8x4,8625.560283687943
-12.124085000000001,-76.9862035,Santiago de Surco,Lima,280.0,200.0,S/,4.0,3.0,4.0,23.0,2.0,80.0,6mc70,6mc700,6mc700u,6mc700uk,6mc700uk5,6500.0
-12.1093849,-77.00032199999998,La Molina,Lima,463.0,239.0,USD,5.0,4.0,4.0,16.0,2.0,224.0,6mc5p,6mc5pg,6mc5pgd,6mc5pgd1,6mc5pgd1d,4686.825053995681
-12.1222967,-76.97564299999998,Santiago de Surco,Lima,1200.0,657.0,USD,18.0,4.0,4.0,28.0,4.0,543.0,6mc70,6mc703,6mc703h,6mc703hn,6mc703hn9,4608.333333333333
-12.108107400000002,-76.9694097,Santiago de Surco,Lima,900.0,650.0,USD,18.0,4.0,4.0,28.0,4.0,250.0,6mc70,6mc70e,6mc70eb,6mc70eb9,6mc70eb94,4666.666666666667
-12.0832581333,-76.9058878349,NoEspecifica,Lima,350.0,350.0,S/,11.0,4.0,5.0,28.0,4.0,0.0,6mc73,6mc73b,6mc73bq,6mc73bqc,6mc73bqcf,23117.082857142857
-12.09890620737407,-77.02480560422974,San Isidro,Lima,645.0,645.0,S/,18.0,4.0,6.0,34.0,4.0,0.0,6mc5p,6mc5pm,6mc5pm2,6mc5pm2n,6mc5pm2nz,4638.759689922481
-12.095811999999999,-77.03105999999998,San Isidro,Lima,200.0,350.0,USD,11.0,3.0,4.0,40.0,2.0,-150.0,6mc5p,6mc5pn,6mc5pn5,6mc5pn58,6mc5pn58y,7875.0
-12.0874157,-77.05702609999999,Jesús María,Lima,508.0,508.0,S/,17.0,4.0,6.0,30.0,1.0,0.0,6mc5n,6mc5nx,6mc5nx8,6mc5nx8c,6mc5nx8c9,4181.102362204724
-12.0756385,-76.9110056,La Molina,Lima,1040.0,450.0,USD,15.0,4.0,4.0,18.0,4.0,590.0,6mc73,6mc73c,6mc73ce,6mc73cen,6mc73cen7,5721.153846153847
-12.0083302,-77.07011750000002,Los Olivos,Lima,400.0,138.0,S/,1.0,4.0,8.0,17.0,1.0,262.0,6mc5w,6mc5wj,6mc5wjz,6mc5wjzq,6mc5wjzq2,2791.25
-11.8777261,-77.02606290000001,Carabayllo,Lima,240.0,140.0,S/,1.0,4.0,6.0,18.0,1.0,100.0,6mchr,6mchrj,6mchrjx,6mchrjxr,6mchrjxr4,1429.166666666667
-12.0618683,-76.9407317,La Molina,Lima,900.0,568.0,USD,17.0,4.0,4.0,20.0,4.0,332.0,6mc73,6mc73h,6mc73hj,6mc73hjq,6mc73hjqx,3072.222222222222
-12.0836159402,-76.9010169191,NoEspecifica,Lima,250.0,250.0,S/,6.0,3.0,4.0,17.0,2.0,0.0,6mc76,6mc760,6mc7604,6mc7604r,6mc7604ru,9190.556
-12.0896596,-77.04944870000001,San Isidro,Lima,450.0,410.0,S/,14.0,4.0,4.0,41.0,3.0,40.0,6mc5n,6mc5nx,6mc5nxn,6mc5nxnk,6mc5nxnk9,7545.666666666668
-12.0939619,-76.9491493,La Molina,Lima,300.0,260.0,S/,7.0,3.0,4.0,18.0,2.0,40.0,6mc70,6mc70y,6mc70yr,6mc70yr7,6mc70yr7d,7800.0
-12.0769909,-76.98374769999998,Ate Vitarte,Lima,154.0,154.0,USD,2.0,4.0,5.0,16.0,2.0,0.0,6mc72,6mc721,6mc721q,6mc721qn,6mc721qnk,8181.818181818182
-12.064748,-77.03627229999998,Miraflores,Lima,457.0,250.0,USD,6.0,3.0,4.0,50.0,2.0,207.0,6mc5q,6mc5qg,6mc5qgx,6mc5qgxv,6mc5qgxvs,10262.58205689278
-12.07242346394259,-76.97031140327452,La Molina,Lima,640.0,420.0,USD,14.0,4.0,4.0,21.0,4.0,220.0,6mc72,6mc726,6mc726r,6mc726rc,6mc726rcj,6562.5
