element_type,osmid,amenity,name,geometry
node,1966842431,school,Institución Educativa Mater Purissima,POINT (-77.01587000000001 -12.03116)
node,1966842432,school,Colegio Mayim Haiem,POINT (-77.0134 -12.02076)
node,1966842434,school,Institución Educativa Mi Jardin Abc,POINT (-77.00869400000001 -12.0082861)
node,1966842439,school,Institución Educativa Mi Pequeño Mundo San Carlos,POINT (-77.0049489 -11.9870515)
node,1966842441,school,Institución Educativa Mi Segundo Hogar,POINT (-77.01550949999999 -11.9948219)
node,1966842447,school,Institución Educativa Micael,POINT (-76.9948084 -12.0089848)
node,1966842448,school,Institución Educativa Milagrosa Nuestra Señora Del Carmen,POINT (-77.00662079999999 -12.00819)
node,1966842450,school,Institución Educativa Milagroso Corazon De Jesus,POINT (-77.01843 -12.00269)
node,1966842451,school,Colegio Milagroso San Benito,POINT (-77.0034347 -12.015172)
node,1966842452,school,Colegio Monitor,POINT (-77.00257209999999 -12.0121288)
node,1966842454,school,Institución Educativa Newton,POINT (-76.9854033 -12.0238664)
node,1966842455,school,Colegio Niño Carmelo,POINT (-77.01444789999999 -11.999653)
node,1966842457,school,Institución Educativa Niño Jesus De Santa Ana,POINT (-77.0074925 -12.0114798)
node,1966842458,school,Institución Educativa Niño De Belen,POINT (-77.0076016 -12.0284782)
node,1966842459,school,Institución Educativa Nuestra America,POINT (-76.99778999999999 -12.01619)
node,1966842460,school,Colegio Nuestra Señora de Copacabana,POINT (-77.0097634 -12.0299919)
node,1966842461,school,Institución Educativa Nuestra Señora De Lourdes,POINT (-77.0055527 -12.0023078)
node,1966842464,school,Institución Educativa Nuestra Señora De La Asuncion,POINT (-77.00119119999999 -12.02093)
node,1966842465,school,Institución Educativa Nuestra Señora De La Inmaculada Concepcion,POINT (-77.0043056 -11.9858814)
node,1966842466,school,Colegio Nuestra Señora de la Visitacion,POINT (-77.01326539999999 -11.9799702)
node,1966842467,school,Institución Educativa Nuestra Señora Del Sagrado Corazon,POINT (-77.00803070000001 -12.0074995)
node,1966842469,school,Institución Educativa Nuevo Pitagoras,POINT (-77.0042102 -11.9957251)
node,1966842470,school,Colegio Pamer,POINT (-77.00811 -12.00126)
node,1966842471,school,Institución Educativa Paul Verlaine,POINT (-76.9559179 -12.0202659)
node,1966842473,school,Institución Educativa Pitagoras,POINT (-77.00478529999999 -11.99489)
node,1966842474,school,Institución Educativa Principe De Paz,POINT (-77.0006508 -11.9886518)
node,1966842475,school,Institución Educativa Richard Feynman,POINT (-77.0028769 -11.9998161)
node,1966842476,school,Institución Educativa Rios De Agua Viva,POINT (-76.99419 -12.02322)
node,1966842477,school,Institución Educativa Rosa De Las Americas School,POINT (-76.98219020000001 -12.010798)
node,1966842478,school,Institución Educativa Rosa De Las Americas,POINT (-77.00760099999999 -12.0156797)
node,1966842479,school,Institución Educativa San Andres,POINT (-77.01266990000001 -12.0070203)
